Using backend: pytorch
Other supported backends: tensorflow.compat.v1, tensorflow, jax, paddle.
paddle supports more examples now and is recommended.
Set the default float type to float64
Device ID: 1, Free Memory: 11007.0 MB
self.triangles shape: (141944, 3)
Compiling model...
'compile' took 0.000238 s

Training model...

Step      Train loss                                            Test loss                                             Test metric
0         [0.00e+00, 0.00e+00, 0.00e+00, 3.63e+03, 3.63e+03]    [0.00e+00, 0.00e+00, 0.00e+00, 3.63e+03, 3.63e+03]    []  
1000      [0.00e+00, 0.00e+00, 0.00e+00, 2.12e+03, 2.12e+03]    [0.00e+00, 0.00e+00, 0.00e+00, 2.12e+03, 2.12e+03]    []  
2000      [0.00e+00, 0.00e+00, 0.00e+00, 2.09e+03, 2.09e+03]    [0.00e+00, 0.00e+00, 0.00e+00, 2.09e+03, 2.09e+03]    []  
3000      [0.00e+00, 0.00e+00, 0.00e+00, 2.09e+03, 2.09e+03]    [0.00e+00, 0.00e+00, 0.00e+00, 2.09e+03, 2.09e+03]    []  
4000      [0.00e+00, 0.00e+00, 0.00e+00, 2.09e+03, 2.09e+03]    [0.00e+00, 0.00e+00, 0.00e+00, 2.09e+03, 2.09e+03]    []  
5000      [0.00e+00, 0.00e+00, 0.00e+00, 1.40e+02, 1.40e+02]    [0.00e+00, 0.00e+00, 0.00e+00, 1.40e+02, 1.40e+02]    []  
6000      [0.00e+00, 0.00e+00, 0.00e+00, 1.49e+01, 1.49e+01]    [0.00e+00, 0.00e+00, 0.00e+00, 1.49e+01, 1.49e+01]    []  
7000      [0.00e+00, 0.00e+00, 0.00e+00, 1.00e+01, 1.00e+01]    [0.00e+00, 0.00e+00, 0.00e+00, 1.00e+01, 1.00e+01]    []  
8000      [0.00e+00, 0.00e+00, 0.00e+00, 7.82e+00, 7.82e+00]    [0.00e+00, 0.00e+00, 0.00e+00, 7.82e+00, 7.82e+00]    []  
9000      [0.00e+00, 0.00e+00, 0.00e+00, 6.39e+00, 6.39e+00]    [0.00e+00, 0.00e+00, 0.00e+00, 6.39e+00, 6.39e+00]    []  
10000     [0.00e+00, 0.00e+00, 0.00e+00, 5.23e+00, 5.23e+00]    [0.00e+00, 0.00e+00, 0.00e+00, 5.23e+00, 5.23e+00]    []  

Best model at step 10000:
  train loss: 1.05e+01
  test loss: 1.05e+01
  test metric: []

Epoch 10000: saving model to /itf-fi-ml/home/adamjak/heart/MSc/deepxDE/models/heart_model_64x5_tanh_Glorot normal_mini_t_norm-10000.pt ...

'train' took 6414.063861 s

Saving loss history to /itf-fi-ml/home/adamjak/heart/MSc/deepxDE/loss.dat ...
Saving training data to /itf-fi-ml/home/adamjak/heart/MSc/deepxDE/train.dat ...
Saving test data to /itf-fi-ml/home/adamjak/heart/MSc/deepxDE/test.dat ...
Compiling model...
'compile' took 0.000191 s

Training model...

Step      Train loss                                            Test loss                                             Test metric
10000     [1.32e+13, 2.06e+01, 9.76e-11, 5.23e+00, 5.23e+00]    [1.32e+13, 2.02e+01, 4.96e-10, 5.23e+00, 5.23e+00]    []  
11000     [1.10e+09, 2.40e+00, 5.02e-22, 5.92e+02, 5.92e+02]    [1.14e+09, 2.48e+00, 2.64e-10, 5.92e+02, 5.92e+02]    []  
12000     [6.10e+08, 1.67e+00, 1.51e-07, 3.03e+02, 3.03e+02]    [5.89e+08, 1.60e+00, 1.48e-08, 3.03e+02, 3.03e+02]    []  
13000     [3.94e+08, 1.43e+00, 3.10e-06, 2.13e+02, 2.13e+02]    [3.80e+08, 1.39e+00, 7.19e-11, 2.13e+02, 2.13e+02]    []  
14000     [2.31e+08, 1.28e+00, 1.09e-08, 1.69e+02, 1.69e+02]    [7.30e+08, 1.24e+00, 8.03e-07, 1.69e+02, 1.69e+02]    []  
15000     [1.17e+08, 1.08e+00, 3.92e-04, 1.40e+02, 1.40e+02]    [1.19e+08, 1.08e+00, 5.08e-09, 1.40e+02, 1.40e+02]    []  
16000     [5.25e+07, 8.06e-01, 2.89e-01, 1.20e+02, 1.20e+02]    [5.22e+07, 8.08e-01, 6.91e-07, 1.20e+02, 1.20e+02]    []  
17000     [1.91e+07, 4.55e-01, 8.10e-06, 1.10e+02, 1.10e+02]    [1.85e+07, 4.51e-01, 1.37e-11, 1.10e+02, 1.10e+02]    []  
18000     [1.05e+07, 3.63e-01, 8.37e-11, 1.03e+02, 1.03e+02]    [1.04e+07, 3.64e-01, 4.50e-09, 1.03e+02, 1.03e+02]    []  
19000     [6.09e+06, 3.16e-01, 1.41e-11, 9.73e+01, 9.73e+01]    [6.79e+06, 3.36e-01, 3.39e-08, 9.73e+01, 9.73e+01]    []  
20000     [4.06e+06, 3.26e-01, 3.76e-08, 9.47e+01, 9.47e+01]    [4.07e+06, 3.22e-01, 4.08e-05, 9.47e+01, 9.47e+01]    []  
21000     [2.27e+06, 3.30e-01, 4.24e-02, 9.36e+01, 9.36e+01]    [2.22e+06, 3.17e-01, 2.32e-05, 9.36e+01, 9.36e+01]    []  
22000     [1.07e+06, 4.89e+00, 7.47e-11, 9.31e+01, 9.31e+01]    [1.10e+06, 6.07e+00, 3.14e-05, 9.31e+01, 9.31e+01]    []  
23000     [6.12e+05, 3.02e-01, 3.20e-04, 9.25e+01, 9.25e+01]    [6.16e+05, 3.03e-01, 1.18e-11, 9.25e+01, 9.25e+01]    []  
24000     [3.29e+05, 3.12e-01, 2.46e-06, 9.20e+01, 9.20e+01]    [3.42e+05, 3.19e-01, 1.03e-08, 9.20e+01, 9.20e+01]    []  
