Using backend: pytorch
Other supported backends: tensorflow.compat.v1, tensorflow, jax, paddle.
paddle supports more examples now and is recommended.
Set the default float type to float64
Device ID: 3, Free Memory: 27038.0 MB
self.triangles shape: (141944, 3)
Compiling model...
'compile' took 0.000162 s

Training model...

Step      Train loss                                            Test loss                                             Test metric
0         [0.00e+00, 0.00e+00, 0.00e+00, 3.63e+03, 3.63e+03]    [0.00e+00, 0.00e+00, 0.00e+00, 3.63e+03, 3.63e+03]    []  
1000      [0.00e+00, 0.00e+00, 0.00e+00, 2.09e+03, 2.09e+03]    [0.00e+00, 0.00e+00, 0.00e+00, 2.09e+03, 2.09e+03]    []  
2000      [0.00e+00, 0.00e+00, 0.00e+00, 2.09e+03, 2.09e+03]    [0.00e+00, 0.00e+00, 0.00e+00, 2.09e+03, 2.09e+03]    []  
3000      [0.00e+00, 0.00e+00, 0.00e+00, 2.09e+03, 2.09e+03]    [0.00e+00, 0.00e+00, 0.00e+00, 2.09e+03, 2.09e+03]    []  
4000      [0.00e+00, 0.00e+00, 0.00e+00, 3.54e+01, 3.54e+01]    [0.00e+00, 0.00e+00, 0.00e+00, 3.54e+01, 3.54e+01]    []  
5000      [0.00e+00, 0.00e+00, 0.00e+00, 1.05e+01, 1.05e+01]    [0.00e+00, 0.00e+00, 0.00e+00, 1.05e+01, 1.05e+01]    []  
6000      [0.00e+00, 0.00e+00, 0.00e+00, 7.38e+00, 7.38e+00]    [0.00e+00, 0.00e+00, 0.00e+00, 7.38e+00, 7.38e+00]    []  
7000      [0.00e+00, 0.00e+00, 0.00e+00, 6.02e+00, 6.02e+00]    [0.00e+00, 0.00e+00, 0.00e+00, 6.02e+00, 6.02e+00]    []  
8000      [0.00e+00, 0.00e+00, 0.00e+00, 3.55e+00, 3.55e+00]    [0.00e+00, 0.00e+00, 0.00e+00, 3.55e+00, 3.55e+00]    []  
9000      [0.00e+00, 0.00e+00, 0.00e+00, 2.32e+00, 2.32e+00]    [0.00e+00, 0.00e+00, 0.00e+00, 2.32e+00, 2.32e+00]    []  
10000     [0.00e+00, 0.00e+00, 0.00e+00, 1.70e+00, 1.70e+00]    [0.00e+00, 0.00e+00, 0.00e+00, 1.70e+00, 1.70e+00]    []  

Best model at step 10000:
  train loss: 3.39e+00
  test loss: 3.39e+00
  test metric: []

Epoch 10000: saving model to /itf-fi-ml/home/adamjak/heart/MSc/deepxDE/models/heart_model_128x6_tanh_Glorot normal_mini_2norm_domain3k_rs10k-10000.pt ...

'train' took 4984.234948 s

Saving loss history to /itf-fi-ml/home/adamjak/heart/MSc/deepxDE/loss.dat ...
Saving training data to /itf-fi-ml/home/adamjak/heart/MSc/deepxDE/train.dat ...
Saving test data to /itf-fi-ml/home/adamjak/heart/MSc/deepxDE/test.dat ...
Compiling model...
'compile' took 0.000141 s

Training model...

Step      Train loss                                            Test loss                                             Test metric
10000     [1.93e+14, 1.07e+02, 4.51e-02, 1.70e+00, 1.70e+00]    [1.88e+14, 1.05e+02, 6.75e-08, 1.70e+00, 1.70e+00]    []  
11000     [9.62e+09, 3.34e-01, 9.74e-11, 8.15e+01, 8.15e+01]    [5.89e+10, 4.36e-01, 2.77e-05, 8.15e+01, 8.15e+01]    []  
12000     [3.81e+09, 6.41e-01, 9.78e-10, 5.82e+01, 5.82e+01]    [1.24e+11, 8.09e-01, 8.18e-06, 5.82e+01, 5.82e+01]    []  
13000     [1.76e+09, 1.41e+00, 6.49e-09, 4.99e+01, 4.99e+01]    [2.82e+10, 1.54e+00, 8.83e-06, 4.99e+01, 4.99e+01]    []  
14000     [4.87e+08, 1.84e+00, 2.97e-10, 3.82e+01, 3.82e+01]    [4.59e+10, 2.02e+00, 9.19e-06, 3.82e+01, 3.82e+01]    []  
15000     [1.91e+08, 1.82e+00, 3.03e-11, 3.38e+01, 3.38e+01]    [1.96e+10, 2.00e+00, 1.04e-05, 3.38e+01, 3.38e+01]    []  
16000     [1.09e+08, 2.08e+00, 9.55e-12, 3.17e+01, 3.17e+01]    [3.57e+10, 2.18e+00, 9.82e-06, 3.17e+01, 3.17e+01]    []  
17000     [7.63e+07, 2.29e+00, 7.18e-12, 3.09e+01, 3.09e+01]    [4.24e+10, 2.46e+00, 1.14e-05, 3.09e+01, 3.09e+01]    []  
18000     [5.48e+07, 2.68e+00, 9.62e-15, 3.49e+01, 3.49e+01]    [9.30e+07, 2.76e+00, 4.19e-06, 3.49e+01, 3.49e+01]    []  
19000     [2.44e+07, 2.72e+00, 7.55e-16, 3.38e+01, 3.38e+01]    [5.29e+07, 2.81e+00, 7.87e-06, 3.38e+01, 3.38e+01]    []  
20000     [1.14e+07, 2.89e+00, 5.50e-16, 3.40e+01, 3.40e+01]    [2.15e+07, 2.98e+00, 1.16e-05, 3.40e+01, 3.40e+01]    []  
21000     [7.94e+06, 3.13e+02, 1.27e-04, 3.44e+01, 3.44e+01]    [8.16e+06, 3.06e+02, 4.41e-05, 3.44e+01, 3.44e+01]    []  
22000     [6.94e+07, 1.52e+02, 2.23e-03, 3.78e+02, 3.78e+02]    [6.91e+07, 1.95e+02, 5.66e-13, 3.78e+02, 3.78e+02]    []  
23000     [2.30e+07, 1.76e+02, 1.14e-03, 2.11e+02, 2.11e+02]    [2.29e+07, 2.28e+02, 8.01e-14, 2.11e+02, 2.11e+02]    []  
24000     [1.14e+07, 1.48e+02, 8.37e-04, 1.49e+02, 1.49e+02]    [1.13e+07, 1.80e+02, 2.50e-14, 1.49e+02, 1.49e+02]    []  
25000     [6.11e+06, 1.48e+02, 7.64e-04, 1.27e+02, 1.27e+02]    [6.08e+06, 1.73e+02, 3.51e-15, 1.27e+02, 1.27e+02]    []  
26000     [3.21e+06, 1.19e+02, 1.02e-06, 1.17e+02, 1.17e+02]    [3.21e+06, 1.46e+02, 2.71e-15, 1.17e+02, 1.17e+02]    []  
27000     [1.54e+06, 1.45e+02, 1.19e-04, 1.13e+02, 1.13e+02]    [1.58e+06, 1.75e+02, 2.37e-15, 1.13e+02, 1.13e+02]    []  
28000     [6.72e+05, 2.14e+02, 2.22e-05, 1.11e+02, 1.11e+02]    [7.05e+05, 2.32e+02, 2.19e-15, 1.11e+02, 1.11e+02]    []  
29000     [2.63e+05, 3.51e+02, 3.16e-06, 1.07e+02, 1.07e+02]    [2.85e+05, 3.53e+02, 1.44e-15, 1.07e+02, 1.07e+02]    []  
30000     [9.43e+04, 4.87e+02, 7.29e-07, 1.01e+02, 1.01e+02]    [1.15e+05, 4.85e+02, 1.22e-12, 1.01e+02, 1.01e+02]    []  
31000     [4.24e+04, 1.66e+00, 2.95e-06, 1.55e+02, 1.55e+02]    [4.08e+04, 1.58e+00, 8.26e-13, 1.55e+02, 1.55e+02]    []  
32000     [1.13e+04, 8.12e-01, 2.32e-06, 1.43e+02, 1.43e+02]    [1.08e+04, 7.60e-01, 9.63e-13, 1.43e+02, 1.43e+02]    []  
33000     [6.77e+03, 6.93e-01, 2.14e-06, 1.36e+02, 1.36e+02]    [6.55e+03, 6.63e-01, 9.50e-13, 1.36e+02, 1.36e+02]    []  
34000     [4.80e+03, 5.41e-01, 1.24e-06, 1.30e+02, 1.30e+02]    [4.69e+03, 5.19e-01, 1.29e-12, 1.30e+02, 1.30e+02]    []  
35000     [3.20e+03, 3.12e-01, 2.10e-07, 1.20e+02, 1.20e+02]    [3.22e+03, 3.25e-01, 3.12e-10, 1.20e+02, 1.20e+02]    []  
36000     [1.77e+03, 1.87e-01, 2.25e-07, 1.15e+02, 1.15e+02]    [1.78e+03, 1.97e-01, 1.52e-12, 1.15e+02, 1.15e+02]    []  
37000     [5.25e+02, 9.15e-02, 1.75e-07, 1.08e+02, 1.08e+02]    [5.97e+02, 9.90e-02, 2.99e-13, 1.08e+02, 1.08e+02]    []  
38000     [1.78e+02, 6.54e-02, 1.89e-07, 9.76e+01, 9.76e+01]    [6.34e+02, 7.84e-02, 3.93e-11, 9.76e+01, 9.76e+01]    []  
39000     [4.80e+01, 5.82e-02, 1.12e-07, 8.97e+01, 8.97e+01]    [5.86e+02, 7.17e-02, 3.60e-10, 8.97e+01, 8.97e+01]    []  
40000     [2.84e+01, 5.70e-02, 3.36e-08, 8.01e+01, 8.01e+01]    [1.48e+03, 8.09e-02, 9.89e-10, 8.01e+01, 8.01e+01]    []  
41000     [1.60e+02, 6.25e-02, 4.14e-09, 6.79e+01, 6.79e+01]    [5.27e+02, 1.48e-01, 2.79e-08, 6.79e+01, 6.79e+01]    []  
