Using backend: pytorch
Other supported backends: tensorflow.compat.v1, tensorflow, jax, paddle.
paddle supports more examples now and is recommended.
Set the default float type to float64
Device ID: 2, Free Memory: 30610.0 MB
self.triangles shape: (141944, 3)
Compiling model...
'compile' took 0.000144 s

Training model...

Step      Train loss                                            Test loss                                             Test metric
0         [0.00e+00, 0.00e+00, 0.00e+00, 3.63e+03, 3.63e+03]    [0.00e+00, 0.00e+00, 0.00e+00, 3.63e+03, 3.63e+03]    []  
1000      [0.00e+00, 0.00e+00, 0.00e+00, 2.09e+03, 2.09e+03]    [0.00e+00, 0.00e+00, 0.00e+00, 2.09e+03, 2.09e+03]    []  
2000      [0.00e+00, 0.00e+00, 0.00e+00, 2.09e+03, 2.09e+03]    [0.00e+00, 0.00e+00, 0.00e+00, 2.09e+03, 2.09e+03]    []  
3000      [0.00e+00, 0.00e+00, 0.00e+00, 2.09e+03, 2.09e+03]    [0.00e+00, 0.00e+00, 0.00e+00, 2.09e+03, 2.09e+03]    []  
4000      [0.00e+00, 0.00e+00, 0.00e+00, 3.54e+01, 3.54e+01]    [0.00e+00, 0.00e+00, 0.00e+00, 3.54e+01, 3.54e+01]    []  
5000      [0.00e+00, 0.00e+00, 0.00e+00, 1.05e+01, 1.05e+01]    [0.00e+00, 0.00e+00, 0.00e+00, 1.05e+01, 1.05e+01]    []  
6000      [0.00e+00, 0.00e+00, 0.00e+00, 7.38e+00, 7.38e+00]    [0.00e+00, 0.00e+00, 0.00e+00, 7.38e+00, 7.38e+00]    []  
7000      [0.00e+00, 0.00e+00, 0.00e+00, 6.02e+00, 6.02e+00]    [0.00e+00, 0.00e+00, 0.00e+00, 6.02e+00, 6.02e+00]    []  
8000      [0.00e+00, 0.00e+00, 0.00e+00, 3.55e+00, 3.55e+00]    [0.00e+00, 0.00e+00, 0.00e+00, 3.55e+00, 3.55e+00]    []  
9000      [0.00e+00, 0.00e+00, 0.00e+00, 2.32e+00, 2.32e+00]    [0.00e+00, 0.00e+00, 0.00e+00, 2.32e+00, 2.32e+00]    []  
10000     [0.00e+00, 0.00e+00, 0.00e+00, 1.70e+00, 1.70e+00]    [0.00e+00, 0.00e+00, 0.00e+00, 1.70e+00, 1.70e+00]    []  
11000     [0.00e+00, 0.00e+00, 0.00e+00, 1.32e+00, 1.32e+00]    [0.00e+00, 0.00e+00, 0.00e+00, 1.32e+00, 1.32e+00]    []  
12000     [0.00e+00, 0.00e+00, 0.00e+00, 2.36e+00, 2.36e+00]    [0.00e+00, 0.00e+00, 0.00e+00, 2.36e+00, 2.36e+00]    []  
13000     [0.00e+00, 0.00e+00, 0.00e+00, 9.38e-01, 9.38e-01]    [0.00e+00, 0.00e+00, 0.00e+00, 9.38e-01, 9.38e-01]    []  
14000     [0.00e+00, 0.00e+00, 0.00e+00, 8.04e-01, 8.04e-01]    [0.00e+00, 0.00e+00, 0.00e+00, 8.04e-01, 8.04e-01]    []  
15000     [0.00e+00, 0.00e+00, 0.00e+00, 1.77e+00, 1.77e+00]    [0.00e+00, 0.00e+00, 0.00e+00, 1.77e+00, 1.77e+00]    []  

Best model at step 14000:
  train loss: 1.61e+00
  test loss: 1.61e+00
  test metric: []

Epoch 15000: saving model to /itf-fi-ml/home/adamjak/heart/MSc/deepxDE/models/heart_model_128x6_tanh_Glorot normal_mini_Vnorm_domain3k_rs10k-15000.pt ...

'train' took 3467.905404 s

Saving loss history to /itf-fi-ml/home/adamjak/heart/MSc/deepxDE/loss.dat ...
Saving training data to /itf-fi-ml/home/adamjak/heart/MSc/deepxDE/train.dat ...
Saving test data to /itf-fi-ml/home/adamjak/heart/MSc/deepxDE/test.dat ...
Compiling model...
'compile' took 0.000172 s

Training model...

Step      Train loss                                            Test loss                                             Test metric
15000     [3.33e+01, 3.81e-03, 4.31e-02, 1.77e+00, 1.77e+00]    [3.38e+01, 3.67e-03, 3.39e-05, 1.77e+00, 1.77e+00]    []  
16000     [9.52e-03, 3.25e-04, 3.60e-04, 6.54e-01, 6.54e-01]    [3.79e-01, 3.22e-04, 5.44e-05, 6.54e-01, 6.54e-01]    []  
17000     [4.34e-03, 3.09e-04, 1.77e-04, 6.14e-01, 6.14e-01]    [2.33e-01, 3.03e-04, 8.58e-05, 6.14e-01, 6.14e-01]    []  
18000     [2.62e-03, 3.32e-04, 7.85e-06, 5.69e-01, 5.69e-01]    [1.54e-01, 3.33e-04, 3.22e-03, 5.69e-01, 5.69e-01]    []  
19000     [1.65e-03, 3.91e-04, 6.44e-06, 5.09e-01, 5.09e-01]    [1.04e-01, 3.93e-04, 4.20e-03, 5.09e-01, 5.09e-01]    []  
20000     [1.24e-03, 4.39e-04, 6.69e-06, 4.71e-01, 4.71e-01]    [1.07e-01, 4.53e-04, 1.40e-02, 4.71e-01, 4.71e-01]    []  
21000     [1.36e-03, 3.72e-04, 2.30e-04, 4.46e-01, 4.46e-01]    [1.56e+00, 3.84e-04, 1.88e-03, 4.46e-01, 4.46e-01]    []  
22000     [8.85e-04, 3.92e-04, 2.03e-04, 4.20e-01, 4.20e-01]    [8.88e-01, 4.06e-04, 3.96e-03, 4.20e-01, 4.20e-01]    []  
23000     [7.01e-04, 3.95e-04, 1.85e-04, 3.99e-01, 3.99e-01]    [7.41e-02, 4.11e-04, 4.08e-03, 3.99e-01, 3.99e-01]    []  
24000     [5.78e-04, 4.01e-04, 1.61e-04, 3.73e-01, 3.73e-01]    [1.49e-03, 4.19e-04, 4.25e-03, 3.73e-01, 3.73e-01]    []  
25000     [4.84e-04, 4.07e-04, 1.38e-04, 3.53e-01, 3.53e-01]    [1.23e-03, 4.28e-04, 4.50e-03, 3.53e-01, 3.53e-01]    []  
26000     [4.06e-04, 4.03e-04, 1.20e-04, 3.35e-01, 3.35e-01]    [2.51e-02, 4.26e-04, 5.44e-05, 3.35e-01, 3.35e-01]    []  
27000     [3.88e-04, 3.45e-04, 1.01e-04, 3.21e-01, 3.21e-01]    [7.59e-03, 3.67e-04, 1.92e-05, 3.21e-01, 3.21e-01]    []  
28000     [4.74e-03, 3.03e-04, 1.31e-08, 3.13e-01, 3.13e-01]    [3.61e-03, 3.23e-04, 4.01e-05, 3.13e-01, 3.13e-01]    []  
29000     [1.51e-03, 3.99e-04, 3.85e-10, 3.01e-01, 3.01e-01]    [1.09e-02, 4.27e-04, 4.31e-05, 3.01e-01, 3.01e-01]    []  
30000     [9.21e-04, 4.30e-04, 2.04e-10, 2.91e-01, 2.91e-01]    [1.51e-02, 4.57e-04, 4.95e-05, 2.91e-01, 2.91e-01]    []  
31000     [3.39e-04, 4.75e-04, 3.66e-05, 2.80e-01, 2.80e-01]    [1.22e-03, 4.64e-04, 3.34e-05, 2.80e-01, 2.80e-01]    []  
32000     [2.95e-04, 4.50e-04, 2.82e-05, 2.73e-01, 2.73e-01]    [1.32e-03, 4.38e-04, 1.95e-04, 2.73e-01, 2.73e-01]    []  
33000     [2.85e-04, 4.04e-04, 2.23e-05, 2.60e-01, 2.60e-01]    [1.40e-03, 3.93e-04, 5.55e-04, 2.60e-01, 2.60e-01]    []  
34000     [2.72e-04, 3.78e-04, 1.92e-05, 2.51e-01, 2.51e-01]    [1.25e-03, 3.66e-04, 3.80e-04, 2.51e-01, 2.51e-01]    []  
35000     [2.59e-04, 3.62e-04, 1.44e-05, 2.46e-01, 2.46e-01]    [1.13e-03, 3.49e-04, 4.14e-04, 2.46e-01, 2.46e-01]    []  
36000     [2.28e-04, 3.51e-04, 8.24e-06, 2.34e-01, 2.34e-01]    [9.97e-04, 3.37e-04, 3.30e-04, 2.34e-01, 2.34e-01]    []  
37000     [2.11e-04, 3.41e-04, 4.89e-06, 2.27e-01, 2.27e-01]    [8.99e-04, 3.26e-04, 3.02e-04, 2.27e-01, 2.27e-01]    []  
38000     [2.13e-04, 3.33e-04, 3.38e-06, 2.23e-01, 2.23e-01]    [8.32e-04, 3.17e-04, 2.79e-04, 2.23e-01, 2.23e-01]    []  
39000     [1.88e-04, 3.25e-04, 3.37e-06, 2.13e-01, 2.13e-01]    [8.42e-04, 3.09e-04, 3.03e-04, 2.13e-01, 2.13e-01]    []  
40000     [1.80e-04, 3.19e-04, 3.05e-06, 2.07e-01, 2.07e-01]    [8.95e-04, 3.02e-04, 2.92e-04, 2.07e-01, 2.07e-01]    []  
41000     [1.74e-04, 2.89e-04, 1.67e-06, 2.02e-01, 2.02e-01]    [1.31e-03, 2.94e-04, 1.70e-05, 2.02e-01, 2.02e-01]    []  
