Using backend: pytorch
Other supported backends: tensorflow.compat.v1, tensorflow, jax, paddle.
paddle supports more examples now and is recommended.
Set the default float type to float64
Device ID: 2, Free Memory: 30610.0 MB
self.triangles shape: (141944, 3)
Compiling model...
'compile' took 0.000148 s

Training model...

Step      Train loss                                            Test loss                                             Test metric
0         [0.00e+00, 0.00e+00, 0.00e+00, 3.63e+03, 3.63e+03]    [0.00e+00, 0.00e+00, 0.00e+00, 3.63e+03, 3.63e+03]    []  
1000      [0.00e+00, 0.00e+00, 0.00e+00, 2.09e+03, 2.09e+03]    [0.00e+00, 0.00e+00, 0.00e+00, 2.09e+03, 2.09e+03]    []  
2000      [0.00e+00, 0.00e+00, 0.00e+00, 2.09e+03, 2.09e+03]    [0.00e+00, 0.00e+00, 0.00e+00, 2.09e+03, 2.09e+03]    []  
3000      [0.00e+00, 0.00e+00, 0.00e+00, 2.09e+03, 2.09e+03]    [0.00e+00, 0.00e+00, 0.00e+00, 2.09e+03, 2.09e+03]    []  
4000      [0.00e+00, 0.00e+00, 0.00e+00, 3.54e+01, 3.54e+01]    [0.00e+00, 0.00e+00, 0.00e+00, 3.54e+01, 3.54e+01]    []  
5000      [0.00e+00, 0.00e+00, 0.00e+00, 1.05e+01, 1.05e+01]    [0.00e+00, 0.00e+00, 0.00e+00, 1.05e+01, 1.05e+01]    []  
6000      [0.00e+00, 0.00e+00, 0.00e+00, 7.38e+00, 7.38e+00]    [0.00e+00, 0.00e+00, 0.00e+00, 7.38e+00, 7.38e+00]    []  
7000      [0.00e+00, 0.00e+00, 0.00e+00, 6.02e+00, 6.02e+00]    [0.00e+00, 0.00e+00, 0.00e+00, 6.02e+00, 6.02e+00]    []  
8000      [0.00e+00, 0.00e+00, 0.00e+00, 3.55e+00, 3.55e+00]    [0.00e+00, 0.00e+00, 0.00e+00, 3.55e+00, 3.55e+00]    []  
9000      [0.00e+00, 0.00e+00, 0.00e+00, 2.32e+00, 2.32e+00]    [0.00e+00, 0.00e+00, 0.00e+00, 2.32e+00, 2.32e+00]    []  
10000     [0.00e+00, 0.00e+00, 0.00e+00, 1.70e+00, 1.70e+00]    [0.00e+00, 0.00e+00, 0.00e+00, 1.70e+00, 1.70e+00]    []  

Best model at step 10000:
  train loss: 3.39e+00
  test loss: 3.39e+00
  test metric: []

Epoch 10000: saving model to /itf-fi-ml/home/adamjak/heart/MSc/deepxDE/models/heart_model_128x6_tanh_Glorot normal_mini_tnorm_domain3k_rs10k-10000.pt ...

'train' took 2316.890595 s

Saving loss history to /itf-fi-ml/home/adamjak/heart/MSc/deepxDE/loss.dat ...
Saving training data to /itf-fi-ml/home/adamjak/heart/MSc/deepxDE/train.dat ...
Saving test data to /itf-fi-ml/home/adamjak/heart/MSc/deepxDE/test.dat ...
Compiling model...
'compile' took 0.000156 s

Training model...

Step      Train loss                                            Test loss                                             Test metric
10000     [3.21e+12, 1.07e+02, 4.51e-02, 1.70e+00, 1.70e+00]    [3.13e+12, 1.05e+02, 6.75e-08, 1.70e+00, 1.70e+00]    []  
11000     [1.49e+08, 2.81e-01, 3.39e-06, 8.20e+01, 8.20e+01]    [1.80e+09, 4.73e-01, 1.12e-04, 8.20e+01, 8.20e+01]    []  
12000     [6.07e+07, 3.50e-01, 3.45e-08, 5.51e+01, 5.51e+01]    [2.93e+09, 6.13e-01, 6.20e-05, 5.51e+01, 5.51e+01]    []  
13000     [3.06e+07, 1.00e+00, 5.99e-07, 3.99e+01, 3.99e+01]    [3.63e+09, 1.33e+00, 1.55e-05, 3.99e+01, 3.99e+01]    []  
14000     [1.44e+07, 1.67e+00, 1.30e-05, 3.20e+01, 3.20e+01]    [2.45e+09, 2.01e+00, 3.38e-05, 3.20e+01, 3.20e+01]    []  
15000     [8.71e+06, 2.60e+00, 9.89e-07, 3.05e+01, 3.05e+01]    [1.33e+09, 2.87e+00, 3.35e-06, 3.05e+01, 3.05e+01]    []  
16000     [4.39e+06, 3.70e+00, 7.24e-09, 3.33e+01, 3.33e+01]    [7.81e+06, 3.79e+00, 1.44e-06, 3.33e+01, 3.33e+01]    []  
17000     [9.58e+05, 2.65e+00, 3.55e-06, 3.31e+01, 3.31e+01]    [1.52e+06, 7.67e+00, 6.62e-07, 3.31e+01, 3.31e+01]    []  
18000     [4.03e+05, 2.24e+00, 2.11e-06, 3.10e+01, 3.10e+01]    [1.09e+06, 2.33e+00, 6.33e-07, 3.10e+01, 3.10e+01]    []  
19000     [2.72e+05, 4.91e+00, 6.34e-07, 2.98e+01, 2.98e+01]    [9.03e+05, 4.21e+00, 2.35e-07, 2.98e+01, 2.98e+01]    []  
20000     [2.20e+06, 6.67e+00, 4.43e-07, 1.41e+02, 1.41e+02]    [2.20e+06, 6.72e+00, 2.97e-09, 1.41e+02, 1.41e+02]    []  
21000     [9.90e+05, 1.77e+01, 3.63e-05, 1.08e+02, 1.08e+02]    [9.79e+05, 1.77e+01, 1.39e-11, 1.08e+02, 1.08e+02]    []  
22000     [8.87e+05, 1.34e+01, 9.82e-05, 9.74e+01, 9.74e+01]    [1.09e+06, 1.34e+01, 4.59e-08, 9.74e+01, 9.74e+01]    []  
23000     [7.20e+05, 1.36e+01, 8.62e-06, 9.29e+01, 9.29e+01]    [7.25e+05, 1.32e+01, 4.96e-07, 9.29e+01, 9.29e+01]    []  
24000     [5.94e+05, 1.14e+01, 2.07e-05, 8.86e+01, 8.86e+01]    [6.67e+05, 1.15e+01, 1.59e-07, 8.86e+01, 8.86e+01]    []  
25000     [4.15e+05, 8.65e+00, 3.45e-05, 8.43e+01, 8.43e+01]    [4.16e+05, 8.55e+00, 7.74e-08, 8.43e+01, 8.43e+01]    []  
26000     [3.48e+05, 7.11e+00, 5.15e-06, 7.38e+01, 7.38e+01]    [2.17e+06, 7.15e+00, 7.07e-08, 7.38e+01, 7.38e+01]    []  
27000     [2.91e+05, 5.87e+00, 1.06e-05, 6.85e+01, 6.85e+01]    [3.13e+06, 5.91e+00, 9.68e-05, 6.85e+01, 6.85e+01]    []  
28000     [2.30e+05, 4.54e+00, 1.96e-05, 6.40e+01, 6.40e+01]    [3.31e+06, 4.60e+00, 6.26e-08, 6.40e+01, 6.40e+01]    []  
29000     [1.73e+05, 7.17e+00, 1.32e-05, 6.16e+01, 6.16e+01]    [2.60e+06, 1.06e+01, 7.40e-08, 6.16e+01, 6.16e+01]    []  
30000     [1.10e+05, 6.56e+00, 1.12e-05, 5.89e+01, 5.89e+01]    [3.81e+06, 8.41e+00, 7.58e-08, 5.89e+01, 5.89e+01]    []  
31000     [6.11e+04, 5.75e+00, 3.07e-05, 5.52e+01, 5.52e+01]    [7.00e+06, 6.68e+00, 9.60e-08, 5.52e+01, 5.52e+01]    []  
32000     [4.72e+04, 1.87e+01, 4.19e-05, 5.12e+01, 5.12e+01]    [7.54e+06, 2.70e+01, 2.20e-06, 5.12e+01, 5.12e+01]    []  
33000     [3.70e+04, 3.04e+01, 5.43e-05, 4.80e+01, 4.80e+01]    [1.14e+07, 4.19e+01, 2.89e-04, 4.80e+01, 4.80e+01]    []  
34000     [2.72e+04, 3.55e+01, 4.43e-07, 4.48e+01, 4.48e+01]    [1.53e+07, 5.03e+01, 1.33e-07, 4.48e+01, 4.48e+01]    []  
35000     [1.31e+04, 4.24e+01, 5.98e-06, 4.33e+01, 4.33e+01]    [7.12e+06, 6.47e+01, 6.20e-09, 4.33e+01, 4.33e+01]    []  
36000     [8.21e+03, 4.72e+01, 5.43e-08, 4.16e+01, 4.16e+01]    [6.07e+06, 7.16e+01, 9.22e-07, 4.16e+01, 4.16e+01]    []  
37000     [4.92e+03, 6.77e+01, 6.51e-07, 3.93e+01, 3.93e+01]    [3.88e+06, 8.98e+01, 2.41e-05, 3.93e+01, 3.93e+01]    []  
38000     [2.00e+03, 4.07e+01, 1.31e-05, 3.30e+01, 3.30e+01]    [2.15e+06, 3.43e+01, 3.20e-06, 3.30e+01, 3.30e+01]    []  
39000     [9.95e+02, 3.20e+01, 6.94e-07, 2.58e+01, 2.58e+01]    [1.23e+06, 3.24e+01, 5.26e-06, 2.58e+01, 2.58e+01]    []  
40000     [3.02e+05, 1.36e+02, 6.46e-10, 4.33e+02, 4.33e+02]    [3.13e+05, 1.86e+02, 2.55e-11, 4.33e+02, 4.33e+02]    []  
41000     [2.98e+05, 1.10e+02, 2.24e-07, 3.54e+02, 3.54e+02]    [3.02e+05, 1.20e+02, 1.69e-04, 3.54e+02, 3.54e+02]    []  
